Date,USD_INR,Goldrate
2024-01-01,83.24060059,"₹5,066.31"
2024-01-08,83.07610321,"₹4,966.31"
2024-01-15,83.16059875,"₹5,015.33"
2024-01-22,83.14610291,"₹4,950.84"
2024-01-29,82.92759705,"₹4,976.77"
2024-02-05,82.98529816,"₹4,953.90"
2024-02-12,83.00959778,"₹4,938.73"
2024-02-19,82.87229919,"₹4,934.99"
2024-02-26,82.91040039,"₹4,960.54"
2024-03-04,82.75229645,"₹5,167.64"
2024-03-11,82.96559906,"₹5,326.46"
2024-03-18,83.22660065,"₹5,283.44"
2024-03-25,83.39299774,"₹5,341.21"
2024-04-01,83.47779846,"₹5,543.85"
2024-04-08,83.34929657,"₹5,737.21"
2024-04-15,83.54499817,"₹5,874.86"
2024-04-22,83.30180359,"₹5,720.10"
2024-04-29,83.40630341,"₹5,744.34"
2024-05-06,83.45939636,"₹5,724.77"
2024-05-13,83.4701004,"₹5,754.39"
2024-05-20,83.28639984,"₹5,966.34"
2024-05-27,83.32089996,"₹5,765.04"
2024-06-03,83.47309875,"₹5,757.16"
2024-06-10,83.52210236,"₹5,691.70"
2024-06-17,83.60160065,"₹5,710.88"
2024-06-24,83.45089722,"₹5,738.99"
2024-07-01,83.49340057,"₹5,734.29"
2024-07-08,83.51850128,"₹5,803.07"
2024-07-15,83.67430115,"₹5,964.96"
2024-07-22,83.74440002,"₹5,909.38"
2024-07-29,83.74389648,"₹5,883.33"
2024-08-05,83.98899841,"₹5,967.66"
2024-08-12,83.94830322,"₹6,114.39"
2024-08-19,83.94059753,"₹6,182.13"
2024-08-26,83.89510345,"₹6,222.57"
2024-09-02,83.9835968,"₹6,179.61"
2024-09-09,83.93479919,"₹6,201.84"
2024-09-16,83.61470032,"₹6,384.57"
2024-09-23,83.61710358,"₹6,548.44"
2024-09-30,84.00939941,"₹6,507.66"
2024-10-07,83.94599915,"₹6,544.00"
2024-10-14,84.05380249,"₹6,563.33"
2024-10-21,84.08180237,"₹6,741.68"
2024-10-28,84.09149933,"₹6,795.35"
2024-11-04,84.30639648,"₹6,786.87"
2024-11-11,84.47380066,"₹6,523.10"
2024-11-18,84.48829651,"₹6,498.43"
2024-11-25,84.55699921,"₹6,524.06"
2024-12-02,84.66600037,"₹6,593.10"
2024-12-09,84.80200195,"₹6,654.03"
2024-12-16,84.94499969,"₹6,639.21"
2024-12-23,85.38600159,"₹6,560.64"
2024-12-30,85.78659821,"₹6,585.39"
